,epoch,z,ielement,atwt,alat,ibar,rho0,re,alpha,b0,b1,b2,b3,esub,asub,t1,t2,t3,rozero,rc,delr,zbl,attrac,repuls,Cmin,Cmax,Ec,lattice_constant_fcc,bulk_modulus_fcc,c44_fcc,c12_fcc,c11_fcc,cohesive_energy_fcc
0,initial,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.1560282707214355,3.900355339050293,3.4037256240844727,3.976041793823242,2.5521926879882812,4.093378067016602,1.0014616250991821,1.4006659984588623,0.47237688302993774,-8.004663467407227,1.1960803270339966,4.768438816070557,0.1730450987815857,-1.1543558835983276,0.01424350868910551,0.045073188841342926,0.9914677739143372,2.5843429565429688,4.803660869598389,3.6222147941589355,153.496826171875,75.40974426269531,102.67607116699219,263.7768859863281,4.138146877288818
1,0,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.15098237991333,3.899014472961426,3.3521904945373535,3.965472936630249,2.535172700881958,4.090656757354736,0.998419463634491,1.393120527267456,0.4942609667778015,-7.882404327392578,1.1969207525253296,4.763737201690674,0.1723117083311081,-1.1129999160766602,0.014117350801825523,0.044178448617458344,0.9926264882087708,2.583972454071045,4.783933162689209,3.6171445846557617,154.1237335205078,76.78313446044922,103.50090026855469,263.9421081542969,4.14576530456543
2,10,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.1390700340271,3.8937790393829346,2.8701770305633545,3.879896402359009,2.428544521331787,4.100919246673584,0.9743465185165405,1.4926027059555054,0.5412268042564392,-6.609769344329834,1.2276432514190674,4.7917351722717285,0.1577058881521225,-0.7795283794403076,0.013841366395354271,0.03681612014770508,0.9800286293029785,2.571262836456299,4.682887077331543,3.5708837509155273,163.9760284423828,88.69368743896484,115.27427673339844,269.3288879394531,4.28698205947876
3,20,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.160874843597412,3.879868745803833,2.6319985389709473,3.891555070877075,2.4494259357452393,4.005586624145508,0.9595227837562561,1.5580631494522095,0.2073478102684021,-6.43800687789917,1.1914442777633667,4.795734405517578,0.14632447063922882,-0.6989691853523254,0.011114967986941338,0.03471064940094948,0.9504437446594238,2.545729875564575,4.642148017883301,3.5371856689453125,171.2281036376953,95.55921936035156,119.64364624023438,281.2472839355469,4.343305587768555
4,30,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.203730583190918,3.8150458335876465,2.493304967880249,3.952615737915039,2.4905893802642822,3.9311017990112305,0.9502018690109253,1.4701634645462036,-0.1385400891304016,-6.43499755859375,1.1780362129211426,4.807878017425537,0.13447144627571106,-0.6675139665603638,0.009311194531619549,0.03404952585697174,0.9345546364784241,2.5176186561584473,4.692627906799316,3.505537748336792,176.74476623535156,100.83761596679688,122.2068862915039,291.9367370605469,4.417575836181641
5,40,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.247363090515137,3.732110023498535,2.3552567958831787,4.05915641784668,2.4927968978881836,3.8728959560394287,0.9491165280342102,1.2736985683441162,-0.5002790093421936,-6.442094326019287,1.1839252710342407,4.815994739532471,0.12198038399219513,-0.3369869291782379,0.0076124900951981544,0.032410603016614914,0.9235808253288269,2.486443281173706,4.768410682678223,3.472048282623291,181.56277465820312,106.97831726074219,124.368408203125,300.98150634765625,4.506432056427002
6,50,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.280062198638916,3.6388165950775146,2.182135581970215,4.154473304748535,2.5259594917297363,3.8020217418670654,0.9499037265777588,0.9693283438682556,-0.6717739701271057,-6.14829158782959,1.1631340980529785,4.799662113189697,0.10909155756235123,0.20728732645511627,0.007147003896534443,0.03222793713212013,0.9204350113868713,2.4627604484558105,4.7920145988464355,3.4438867568969727,187.04861450195312,115.0201187133789,130.26255798339844,304.9175109863281,4.619332790374756
7,60,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.291581630706787,3.537081480026245,2.0048162937164307,4.199435234069824,2.586404800415039,3.7725629806518555,0.9535030722618103,0.688952624797821,-0.5342121720314026,-5.305034160614014,1.0871102809906006,4.776321887969971,0.10031285136938095,0.8144473433494568,0.0089924531057477,0.033169493079185486,0.931756317615509,2.4440994262695312,4.747812747955322,3.4287238121032715,188.2749786376953,121.73567199707031,134.5997314453125,300.0908508300781,4.686859130859375
8,70,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.275327682495117,3.447861433029175,1.9378875494003296,4.214629650115967,2.629074811935425,3.7909910678863525,0.9609808325767517,0.5092019438743591,-0.1557179093360901,-4.610344886779785,1.0054326057434082,4.735231399536133,0.10255199670791626,1.2509196996688843,0.011712731793522835,0.03483014553785324,0.9545028209686279,2.447540521621704,4.675743579864502,3.4379045963287354,184.01028442382812,124.37721252441406,134.45082092285156,288.6490783691406,4.6813178062438965
9,80,12.0,-7.035302473923366e-08,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,5.261380672454834,3.3674373626708984,1.909021258354187,4.2020392417907715,2.652533531188965,3.8253366947174072,0.9682769179344177,0.4081863760948181,0.1999923586845398,-3.993687152862549,0.9342208504676819,4.702521800994873,0.10739375650882721,1.599483609199524,0.014702524989843369,0.03643523529171944,0.9771315455436707,2.4514341354370117,4.614058494567871,3.450139045715332,180.50062561035156,125.90987396240234,134.71377563476562,278.4194030761719,4.667430877685547
