,final
elt,Ni
z,12.0
ielement,4.4607347149394627e-07
atwt,58.689998626708984
alpha,5.034752368927002
b0,3.5244300365448
b1,0.2855564057826996
b2,4.573812484741211
b3,1.4801151752471924
alat,3.521389961242676
esub,3.8898537158966064
asub,0.9438291192054749
t0,1.0
t1,2.539888620376587
t2,0.6423165202140808
t3,4.200788497924805
rozero,0.896267831325531
ibar,3.0
