,epoch,z,ielement,atwt,alat,ibar,rho0,re,zbl,alpha,b0,b1,b2,b3,esub,asub,t1,t2,t3,rozero,rc,delr,attrac,repuls,Cmin,Cmax,Ec,emb_lin_neg,bkgd_dyn,lattice_constant_fcc,bulk_modulus_fcc,c44_fcc,c12_fcc,c11_fcc,cohesive_energy_fcc,thermal_expansion_coeff_fcc,surface_energy_100_fcc
10,60,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.343264579772949,3.5081074237823486,2.201906204223633,4.7755961418151855,0.3455732762813568,4.389229774475098,0.8196176886558533,3.8324666023254395,3.082430124282837,5.2242021560668945,1.4584925174713135,3.7932510375976562,0.14102588593959808,0.055061228573322296,0.05508710443973541,1.0772950649261475,2.954498767852783,4.334616661071777,0.5080228447914124,-0.10253052413463593,3.5578837394714355,187.767578125,132.24072265625,156.27655029296875,259.0579833984375,4.396626949310303,1.1774357517424505e-05,0.12270320951938629
11,70,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.333808422088623,3.497147798538208,2.2028262615203857,4.81408166885376,0.36510559916496277,4.394867897033691,0.8156536817550659,3.820941686630249,3.0408692359924316,5.226946830749512,1.3895119428634644,3.823843479156494,0.14056678116321564,0.059946656227111816,0.055053483694791794,1.0656838417053223,2.943826198577881,4.338579177856445,0.5112488865852356,-0.10053575038909912,3.5578248500823975,187.03321838378906,132.07867431640625,155.77267456054688,258.09246826171875,4.397073268890381,1.197492383653298e-05,0.12202043831348419
12,80,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.330536365509033,3.4734013080596924,2.193582057952881,4.851550579071045,0.37999269366264343,4.414362907409668,0.8115524649620056,3.8097074031829834,3.008664131164551,5.233353137969971,1.361645221710205,3.8589439392089844,0.14062708616256714,0.06377687305212021,0.055597029626369476,1.0648735761642456,2.929896593093872,4.35025691986084,0.5107131600379944,-0.09782545268535614,3.5581600666046143,186.93414306640625,132.25668334960938,155.62904357910156,258.1658020019531,4.412775993347168,1.2094468729628716e-05,0.12187060713768005
13,90,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.333108425140381,3.433027982711792,2.1901092529296875,4.883957862854004,0.39117512106895447,4.436059474945068,0.8086501955986023,3.8050830364227295,2.992926597595215,5.213820934295654,1.3583309650421143,3.884612798690796,0.14114786684513092,0.06594979017972946,0.05620897561311722,1.063768982887268,2.919761896133423,4.353091716766357,0.5082056522369385,-0.09625813364982605,3.5554208755493164,187.000244140625,132.38516235351562,155.56671142578125,258.3205871582031,4.417023181915283,1.2189806511742063e-05,0.12179969996213913
14,100,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.337208271026611,3.3892858028411865,2.1895880699157715,4.914945125579834,0.40290579199790955,4.457046031951904,0.8065846562385559,3.803447723388672,2.998802900314331,5.186156749725342,1.3733749389648438,3.9068281650543213,0.1417403668165207,0.06739252805709839,0.05684551224112511,1.0638986825942993,2.911604166030884,4.354609489440918,0.5050749182701111,-0.0948331207036972,3.551982879638672,187.0417938232422,132.48838806152344,155.4639129638672,258.431884765625,4.417766571044922,1.2255408364580944e-05,0.12177582830190659
15,110,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.340442180633545,3.3508942127227783,2.188671588897705,4.947174072265625,0.41760048270225525,4.476638317108154,0.8049354553222656,3.80192232131958,3.0232763290405273,5.163472652435303,1.4017016887664795,3.930790662765503,0.14217226207256317,0.06877893209457397,0.05752875655889511,1.0669724941253662,2.9034383296966553,4.360446453094482,0.5019587874412537,-0.09278003871440887,3.549591541290283,187.00851440429688,132.60275268554688,155.29214477539062,258.5257263183594,4.422285556793213,1.2288544894545339e-05,0.12181174755096436
16,120,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.343360424041748,3.3167622089385986,2.1902947425842285,4.979240417480469,0.43417856097221375,4.492356777191162,0.8039084672927856,3.801725149154663,3.055835247039795,5.138182640075684,1.435786485671997,3.9532113075256348,0.1424625664949417,0.06995158642530441,0.05816076323390007,1.0703456401824951,2.8963634967803955,4.3652262687683105,0.4990435242652893,-0.0905272588133812,3.547375440597534,186.84584045410156,132.61424255371094,155.02761840820312,258.4226989746094,4.424113750457764,1.2311652426433284e-05,0.12179523706436157
17,130,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.3473944664001465,3.284838914871216,2.1921472549438477,5.0108208656311035,0.4521399438381195,4.507877349853516,0.8031231164932251,3.802786350250244,3.0904970169067383,5.110866069793701,1.4745796918869019,3.975816011428833,0.1427157074213028,0.07095954567193985,0.05883222073316574,1.0748004913330078,2.889582872390747,4.370999336242676,0.49580368399620056,-0.08820530772209167,3.5452663898468018,186.7632598876953,132.6096649169922,154.8225860595703,258.4217529296875,4.427310943603516,1.232177692145342e-05,0.12183009833097458
18,140,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.3522820472717285,3.2543022632598877,2.195266008377075,5.041254043579102,0.4703849256038666,4.522095680236816,0.8026352524757385,3.805098295211792,3.1236026287078857,5.079844951629639,1.514387607574463,3.996962785720825,0.14295174181461334,0.07176629453897476,0.0594901517033577,1.0791593790054321,2.8834574222564697,4.375426292419434,0.49243515729904175,-0.08598904311656952,3.5429773330688477,186.7018280029297,132.550048828125,154.637939453125,258.4089050292969,4.428920269012451,1.2329735000093933e-05,0.12185739725828171
19,150,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.3573455810546875,3.2258224487304688,2.1982734203338623,5.0709662437438965,0.48866960406303406,4.535722255706787,0.8022589683532715,3.8075737953186035,3.1554269790649414,5.049410343170166,1.5543830394744873,4.017810821533203,0.14316326379776,0.07252960652112961,0.06015041097998619,1.0839773416519165,2.8773505687713623,4.3801350593566895,0.48904740810394287,-0.0837392807006836,3.54091477394104,186.65870666503906,132.47605895996094,154.4686279296875,258.41754150390625,4.431105136871338,1.2334017810644582e-05,0.12189539521932602
